device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
6387,2023-05-01 08:34:34,0,0.2887,Pecking,0.63,52.6069920,4.9456130,-6,27.4,2024-11-23 18:24:06,45_best
6387,2023-05-01 08:34:34,20,0.2887,Pecking,0.77,52.6069920,4.9456130,-6,27.4,2024-11-23 18:24:06,45_best
6387,2023-05-01 08:39:21,0,0.3506,SitStand,0.99,52.6069933,4.9455838,-3,30.7,2024-11-23 18:24:06,45_best
6387,2023-05-01 08:39:21,20,0.3506,SitStand,0.98,52.6069933,4.9455838,-3,30.7,2024-11-23 18:24:06,45_best
6387,2023-05-01 08:44:09,0,0.1604,Pecking,0.92,52.6069808,4.9455957,-4,32.2,2024-11-23 18:24:06,45_best
6387,2023-05-01 08:44:09,20,0.1604,Pecking,0.74,52.6069808,4.9455957,-4,32.2,2024-11-23 18:24:06,45_best
6387,2023-05-01 08:48:57,0,0.9495,SitStand,0.99,52.6068608,4.9441152,-4,31.6,2024-11-23 18:24:06,45_best
6387,2023-05-01 08:48:57,20,0.9495,SitStand,0.99,52.6068608,4.9441152,-4,31.6,2024-11-23 18:24:06,45_best
6387,2023-05-01 08:53:45,0,1.6895,SitStand,0.97,52.6068791,4.9441758,-9,33.4,2024-11-23 18:24:06,45_best
6387,2023-05-01 08:53:45,20,1.6895,SitStand,0.97,52.6068791,4.9441758,-9,33.4,2024-11-23 18:24:06,45_best
6387,2023-05-01 08:58:34,0,0.3934,SitStand,1.00,52.6068518,4.9441742,-6,34.4,2024-11-23 18:24:06,45_best
6387,2023-05-01 08:58:34,20,0.3934,SitStand,1.00,52.6068518,4.9441742,-6,34.4,2024-11-23 18:24:06,45_best
6387,2023-05-01 09:03:22,0,1.2913,SitStand,0.91,52.6069020,4.9441045,-4,34.1,2024-11-23 18:24:06,45_best
6387,2023-05-01 09:03:22,20,1.2913,SitStand,0.86,52.6069020,4.9441045,-4,34.1,2024-11-23 18:24:06,45_best
