device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
6387,2023-05-01 09:18:37,0,0.0517,SitStand,0.91,52.6316334,5.0251425,0,28.9,2024-11-23 18:24:10,45_best
6387,2023-05-01 09:18:37,20,0.0517,TerLoco,0.99,52.6316334,5.0251425,0,28.9,2024-11-23 18:24:10,45_best
6387,2023-05-01 09:23:37,0,0.2708,SitStand,0.99,52.6316604,5.0251884,-2,32.1,2024-11-23 18:24:10,45_best
6387,2023-05-01 09:28:25,0,0.4221,SitStand,1.00,52.6316202,5.0250374,-6,33.7,2024-11-23 18:24:10,45_best
6387,2023-05-01 09:28:25,20,0.4221,SitStand,0.99,52.6316202,5.0250374,-6,33.7,2024-11-23 18:24:10,45_best
6387,2023-05-01 09:33:13,0,0.5491,SitStand,0.98,52.6313009,5.0240742,-8,33.6,2024-11-23 18:24:10,45_best
6387,2023-05-01 09:33:13,20,0.5491,SitStand,0.95,52.6313009,5.0240742,-8,33.6,2024-11-23 18:24:10,45_best
6387,2023-05-01 09:38:01,0,0.3311,SitStand,1.00,52.6312947,5.0240651,-5,33.8,2024-11-23 18:24:10,45_best
6387,2023-05-01 09:38:01,20,0.3311,SitStand,1.00,52.6312947,5.0240651,-5,33.8,2024-11-23 18:24:10,45_best
6387,2023-05-01 09:42:49,0,0.5436,SitStand,0.99,52.6312237,5.0240938,-7,34.0,2024-11-23 18:24:10,45_best
6387,2023-05-01 09:47:37,0,0.5349,SitStand,0.99,52.6312623,5.0241037,-5,34.5,2024-11-23 18:24:10,45_best
6387,2023-05-01 09:47:37,20,0.5349,SitStand,0.99,52.6312623,5.0241037,-5,34.5,2024-11-23 18:24:10,45_best
6387,2023-05-01 09:52:25,0,0.2182,SitStand,0.99,52.6311791,5.0244364,-4,33.8,2024-11-23 18:24:10,45_best
6387,2023-05-01 09:52:25,20,0.2182,SitStand,0.99,52.6311791,5.0244364,-4,33.8,2024-11-23 18:24:10,45_best
