device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
6387,2023-05-02 16:12:14,0,0.0663,SitStand,0.61,52.6139934,4.9721591,-10,21.6,2024-11-23 18:24:46,45_best
6387,2023-05-02 16:12:14,20,0.0663,SitStand,0.98,52.6139934,4.9721591,-10,21.6,2024-11-23 18:24:46,45_best
6387,2023-05-02 16:17:01,0,2.2817,SitStand,0.91,52.6135415,4.9721234,-48,24.0,2024-11-23 18:24:46,45_best
6387,2023-05-02 16:17:01,20,2.2817,SitStand,0.81,52.6135415,4.9721234,-48,24.0,2024-11-23 18:24:46,45_best
6387,2023-05-02 16:22:13,0,0.0624,SitStand,1.00,52.6139787,4.9721251,-53,26.5,2024-11-23 18:24:46,45_best
6387,2023-05-02 16:22:13,20,0.0624,SitStand,1.00,52.6139787,4.9721251,-53,26.5,2024-11-23 18:24:46,45_best
6387,2023-05-02 16:27:19,0,0.0823,SitStand,0.99,52.6140191,4.9721602,-11,27.8,2024-11-23 18:24:46,45_best
6387,2023-05-02 16:27:19,20,0.0823,SitStand,1.00,52.6140191,4.9721602,-11,27.8,2024-11-23 18:24:46,45_best
6387,2023-05-02 16:32:12,0,0.3440,SitStand,0.99,52.6140485,4.9721714,-12,29.1,2024-11-23 18:24:46,45_best
6387,2023-05-02 16:32:12,20,0.3440,SitStand,0.99,52.6140485,4.9721714,-12,29.1,2024-11-23 18:24:46,45_best
6387,2023-05-02 16:37:01,0,0.2570,SitStand,0.96,52.6140244,4.9721571,-11,28.9,2024-11-23 18:24:46,45_best
6387,2023-05-02 16:37:01,20,0.2570,SitStand,0.98,52.6140244,4.9721571,-11,28.9,2024-11-23 18:24:46,45_best
