device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
6387,2023-05-02 17:29:49,0,0.0929,TerLoco,0.99,52.6150522,5.0207713,-5,24.9,2024-11-23 18:24:50,45_best
6387,2023-05-02 17:29:49,20,0.0929,TerLoco,0.99,52.6150522,5.0207713,-5,24.9,2024-11-23 18:24:50,45_best
6387,2023-05-02 17:35:57,0,0.1114,SitStand,1.00,52.6155195,5.0206260,-5,27.4,2024-11-23 18:24:50,45_best
6387,2023-05-02 17:35:57,20,0.1114,SitStand,0.99,52.6155195,5.0206260,-5,27.4,2024-11-23 18:24:50,45_best
6387,2023-05-02 17:40:45,0,0.5973,TerLoco,1.00,52.6158378,5.0205079,-7,26.8,2024-11-23 18:24:50,45_best
6387,2023-05-02 17:40:45,20,0.5973,TerLoco,1.00,52.6158378,5.0205079,-7,26.8,2024-11-23 18:24:50,45_best
6387,2023-05-02 17:45:33,0,0.2597,SitStand,0.72,52.6161463,5.0202075,-5,27.6,2024-11-23 18:24:50,45_best
6387,2023-05-02 17:45:33,20,0.2597,SitStand,0.93,52.6161463,5.0202075,-5,27.6,2024-11-23 18:24:50,45_best
6387,2023-05-02 17:50:21,0,1.6924,Boat,0.62,52.6161498,5.0202257,-8,28.0,2024-11-23 18:24:50,45_best
6387,2023-05-02 17:50:21,20,1.6924,Boat,0.59,52.6161498,5.0202257,-8,28.0,2024-11-23 18:24:50,45_best
6387,2023-05-02 17:55:08,0,0.2829,Float,1.00,52.6161132,5.0200613,-6,28.7,2024-11-23 18:24:50,45_best
6387,2023-05-02 17:55:08,20,0.2829,Soar,0.87,52.6161132,5.0200613,-6,28.7,2024-11-23 18:24:50,45_best
6387,2023-05-02 18:00:24,0,0.1177,SitStand,0.99,52.6160742,5.0200635,-4,28.7,2024-11-23 18:24:50,45_best
6387,2023-05-02 18:00:24,20,0.1177,SitStand,0.99,52.6160742,5.0200635,-4,28.7,2024-11-23 18:24:50,45_best
6387,2023-05-02 18:05:17,0,0.8278,SitStand,0.98,52.6160628,5.0200395,-2,27.1,2024-11-23 18:24:50,45_best
6387,2023-05-02 18:05:17,20,0.8278,SitStand,0.98,52.6160628,5.0200395,-2,27.1,2024-11-23 18:24:50,45_best
6387,2023-05-02 18:10:05,0,1.0877,SitStand,0.87,52.6161070,5.0200620,-5,28.5,2024-11-23 18:24:50,45_best
6387,2023-05-02 18:10:05,20,1.0877,SitStand,0.84,52.6161070,5.0200620,-5,28.5,2024-11-23 18:24:50,45_best
