device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
6387,2023-05-01 07:27:22,0,13.0692,Flap,0.99,52.6251583,4.9859479,5,25.6,2024-11-23 18:23:54,45_best
6387,2023-05-01 07:27:22,20,13.0692,Flap,1.00,52.6251583,4.9859479,5,25.6,2024-11-23 18:23:54,45_best
6387,2023-05-01 07:32:10,0,12.7303,Flap,0.99,52.6095482,4.9591081,9,25.4,2024-11-23 18:23:54,45_best
6387,2023-05-01 07:32:10,20,12.7303,Flap,0.99,52.6095482,4.9591081,9,25.4,2024-11-23 18:23:54,45_best
6387,2023-05-01 07:36:57,0,0.1548,SitStand,0.99,52.6126085,4.9547006,0,24.2,2024-11-23 18:23:54,45_best
6387,2023-05-01 07:36:57,20,0.1548,SitStand,0.99,52.6126085,4.9547006,0,24.2,2024-11-23 18:23:54,45_best
6387,2023-05-01 07:41:46,0,8.3520,Flap,0.96,52.6122963,4.9549367,-2,28.6,2024-11-23 18:23:54,45_best
6387,2023-05-01 07:41:46,20,8.3520,Flap,0.98,52.6122963,4.9549367,-2,28.6,2024-11-23 18:23:54,45_best
6387,2023-05-01 07:46:34,0,11.3145,Flap,1.00,52.6098948,4.9564273,12,29.0,2024-11-23 18:23:54,45_best
6387,2023-05-01 07:46:34,20,11.3145,Flap,0.99,52.6098948,4.9564273,12,29.0,2024-11-23 18:23:54,45_best
