device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
6387,2023-05-02 15:24:13,0,0.4052,SitStand,0.48,52.6092203,4.9572034,-4,24.5,2024-11-23 18:24:42,45_best
6387,2023-05-02 15:24:13,20,0.4052,Float,0.71,52.6092203,4.9572034,-4,24.5,2024-11-23 18:24:42,45_best
6387,2023-05-02 15:29:00,0,0.2620,SitStand,0.34,52.6090099,4.9572963,-9,27.8,2024-11-23 18:24:42,45_best
6387,2023-05-02 15:29:00,20,0.2620,SitStand,0.56,52.6090099,4.9572963,-9,27.8,2024-11-23 18:24:42,45_best
6387,2023-05-02 15:33:49,0,0.4312,SitStand,0.87,52.6089031,4.9573934,-7,29.0,2024-11-23 18:24:42,45_best
6387,2023-05-02 15:33:49,20,0.4312,Pecking,0.84,52.6089031,4.9573934,-7,29.0,2024-11-23 18:24:42,45_best
