device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
6387,2023-05-02 11:46:47,0,0.0936,Pecking,0.86,52.6104521,4.9678593,-10,27.1,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:46:47,20,0.0936,SitStand,0.76,52.6104521,4.9678593,-10,27.1,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:46:53,0,0.0888,SitStand,1.00,52.6104524,4.9678624,-10,27.1,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:46:53,20,0.0888,Pecking,0.38,52.6104524,4.9678624,-10,27.1,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:46:59,0,0.0316,SitStand,0.61,52.6104494,4.9678663,-10,27.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:46:59,20,0.0316,Pecking,0.39,52.6104494,4.9678663,-10,27.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:05,0,0.0692,SitStand,0.99,52.6104498,4.9678643,-10,26.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:05,20,0.0692,SitStand,1.00,52.6104498,4.9678643,-10,26.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:11,0,0.0431,SitStand,0.99,52.6104494,4.9678665,-10,26.8,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:11,20,0.0431,SitStand,0.99,52.6104494,4.9678665,-10,26.8,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:18,0,0.0978,SitStand,0.99,52.6104491,4.9678666,-10,26.8,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:18,20,0.0978,SitStand,0.99,52.6104491,4.9678666,-10,26.8,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:24,0,0.1321,Pecking,0.73,52.6104477,4.9678656,-10,27.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:24,20,0.1321,Pecking,0.84,52.6104477,4.9678656,-10,27.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:30,0,0.0557,SitStand,0.97,52.6104460,4.9678664,-10,27.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:30,20,0.0557,TerLoco,0.98,52.6104460,4.9678664,-10,27.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:36,0,0.2678,TerLoco,0.97,52.6104338,4.9678682,-10,27.3,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:36,20,0.2678,TerLoco,0.96,52.6104338,4.9678682,-10,27.3,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:42,0,0.4808,TerLoco,0.89,52.6104129,4.9678698,-10,27.1,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:42,20,0.4808,TerLoco,0.99,52.6104129,4.9678698,-10,27.1,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:48,0,0.3305,SitStand,0.75,52.6104236,4.9678790,-10,27.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:48,20,0.3305,ExFlap,0.89,52.6104236,4.9678790,-10,27.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:54,0,5.4327,Pecking,0.51,52.6105122,4.9680138,-10,26.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:47:54,20,5.4327,Soar,0.64,52.6105122,4.9680138,-10,26.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:01,0,0.0100,SitStand,0.99,52.6105128,4.9680236,-10,27.3,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:01,20,0.0100,SitStand,0.99,52.6105128,4.9680236,-10,27.3,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:07,0,0.0061,SitStand,0.99,52.6105120,4.9680238,-10,27.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:07,20,0.0061,SitStand,0.99,52.6105120,4.9680238,-10,27.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:13,0,0.0126,SitStand,1.00,52.6105118,4.9680237,-10,27.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:13,20,0.0126,SitStand,1.00,52.6105118,4.9680237,-10,27.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:19,0,0.0496,SitStand,1.00,52.6105115,4.9680237,-10,27.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:19,20,0.0496,SitStand,0.99,52.6105115,4.9680237,-10,27.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:25,0,0.0217,SitStand,0.95,52.6105115,4.9680237,-9,27.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:25,20,0.0217,SitStand,0.79,52.6105115,4.9680237,-9,27.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:31,0,0.0121,SitStand,0.99,52.6105111,4.9680209,-9,27.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:31,20,0.0121,SitStand,0.99,52.6105111,4.9680209,-9,27.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:37,0,0.0156,Pecking,0.90,52.6105111,4.9680204,-9,27.8,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:37,20,0.0156,SitStand,0.86,52.6105111,4.9680204,-9,27.8,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:54,0,0.5882,SitStand,0.75,52.6105213,4.9680281,-9,28.6,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:48:54,20,0.5882,Pecking,0.74,52.6105213,4.9680281,-9,28.6,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:00,0,0.0874,Pecking,0.84,52.6105135,4.9680259,-9,28.6,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:00,20,0.0874,SitStand,0.98,52.6105135,4.9680259,-9,28.6,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:06,0,0.0201,SitStand,1.00,52.6105132,4.9680244,-10,28.8,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:06,20,0.0201,SitStand,0.95,52.6105132,4.9680244,-10,28.8,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:12,0,0.0287,Pecking,0.59,52.6105136,4.9680240,-10,28.7,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:12,20,0.0287,Pecking,0.50,52.6105136,4.9680240,-10,28.7,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:19,0,0.0369,SitStand,0.99,52.6105133,4.9680241,-10,29.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:19,20,0.0369,SitStand,0.99,52.6105133,4.9680241,-10,29.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:25,0,0.0256,SitStand,1.00,52.6105115,4.9680219,-10,28.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:25,20,0.0256,SitStand,0.99,52.6105115,4.9680219,-10,28.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:31,0,0.0132,Pecking,0.90,52.6105112,4.9680219,-10,28.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:31,20,0.0132,SitStand,0.86,52.6105112,4.9680219,-10,28.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:37,0,0.0156,SitStand,1.00,52.6105126,4.9680208,-10,28.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:37,20,0.0156,SitStand,1.00,52.6105126,4.9680208,-10,28.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:43,0,0.0305,SitStand,0.99,52.6105140,4.9680209,-10,28.8,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:43,20,0.0305,SitStand,1.00,52.6105140,4.9680209,-10,28.8,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:49,0,0.0293,SitStand,1.00,52.6105144,4.9680204,-10,28.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:49,20,0.0293,SitStand,1.00,52.6105144,4.9680204,-10,28.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:55,0,0.0810,SitStand,0.99,52.6105143,4.9680190,-10,28.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:49:55,20,0.0810,SitStand,0.89,52.6105143,4.9680190,-10,28.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:02,0,0.0225,SitStand,0.99,52.6105141,4.9680182,-10,29.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:02,20,0.0225,SitStand,0.98,52.6105141,4.9680182,-10,29.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:08,0,0.0460,SitStand,1.00,52.6105143,4.9680171,-10,29.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:08,20,0.0460,SitStand,1.00,52.6105143,4.9680171,-10,29.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:14,0,0.0215,SitStand,1.00,52.6105135,4.9680164,-10,29.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:14,20,0.0215,SitStand,1.00,52.6105135,4.9680164,-10,29.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:20,0,0.0095,SitStand,1.00,52.6105131,4.9680169,-10,29.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:20,20,0.0095,SitStand,0.99,52.6105131,4.9680169,-10,29.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:26,0,0.0373,SitStand,1.00,52.6105128,4.9680180,-10,29.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:26,20,0.0373,SitStand,1.00,52.6105128,4.9680180,-10,29.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:32,0,0.0158,SitStand,1.00,52.6105130,4.9680179,-10,29.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:32,20,0.0158,SitStand,1.00,52.6105130,4.9680179,-10,29.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:38,0,0.0309,SitStand,1.00,52.6105127,4.9680181,-10,29.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:38,20,0.0309,SitStand,1.00,52.6105127,4.9680181,-10,29.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:45,0,0.0469,SitStand,0.99,52.6105128,4.9680177,-10,29.3,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:45,20,0.0469,SitStand,0.99,52.6105128,4.9680177,-10,29.3,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:51,0,0.0207,SitStand,1.00,52.6105131,4.9680180,-10,29.3,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:51,20,0.0207,SitStand,1.00,52.6105131,4.9680180,-10,29.3,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:57,0,0.0207,SitStand,0.99,52.6105124,4.9680178,-9,29.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:50:57,20,0.0207,SitStand,0.99,52.6105124,4.9680178,-9,29.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:03,0,0.0341,Pecking,0.52,52.6105123,4.9680171,-9,29.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:03,20,0.0341,Pecking,0.62,52.6105123,4.9680171,-9,29.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:09,0,0.0477,SitStand,0.99,52.6105123,4.9680179,-9,29.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:09,20,0.0477,SitStand,0.99,52.6105123,4.9680179,-9,29.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:15,0,0.0095,SitStand,0.99,52.6105129,4.9680172,-9,29.6,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:15,20,0.0095,SitStand,0.99,52.6105129,4.9680172,-9,29.6,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:21,0,0.0168,SitStand,0.99,52.6105134,4.9680165,-9,29.7,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:21,20,0.0168,SitStand,0.99,52.6105134,4.9680165,-9,29.7,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:28,0,0.0518,SitStand,1.00,52.6105132,4.9680162,-9,29.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:28,20,0.0518,SitStand,1.00,52.6105132,4.9680162,-9,29.9,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:34,0,0.0538,SitStand,1.00,52.6105135,4.9680164,-9,30.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:34,20,0.0538,SitStand,1.00,52.6105135,4.9680164,-9,30.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:40,0,0.0347,SitStand,1.00,52.6105132,4.9680168,-9,30.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:40,20,0.0347,SitStand,1.00,52.6105132,4.9680168,-9,30.0,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:46,0,0.0293,SitStand,1.00,52.6105127,4.9680189,-9,30.1,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:46,20,0.0293,SitStand,1.00,52.6105127,4.9680189,-9,30.1,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:52,0,0.0167,SitStand,0.98,52.6105130,4.9680189,-9,30.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:52,20,0.0167,SitStand,0.96,52.6105130,4.9680189,-9,30.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:58,0,0.0481,SitStand,0.98,52.6105125,4.9680185,-9,30.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:51:58,20,0.0481,SitStand,0.99,52.6105125,4.9680185,-9,30.4,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:52:04,0,0.0261,SitStand,1.00,52.6105125,4.9680176,-9,30.6,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:52:04,20,0.0261,SitStand,1.00,52.6105125,4.9680176,-9,30.6,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:52:10,0,0.0355,SitStand,0.99,52.6105122,4.9680191,-9,30.6,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:52:10,20,0.0355,SitStand,0.85,52.6105122,4.9680191,-9,30.6,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:52:17,0,0.0808,SitStand,0.94,52.6105123,4.9680180,-9,30.6,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:52:17,20,0.0808,Pecking,0.63,52.6105123,4.9680180,-9,30.6,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:52:23,0,0.0543,SitStand,0.90,52.6105115,4.9680199,-9,30.8,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:52:23,20,0.0543,Pecking,0.77,52.6105115,4.9680199,-9,30.8,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:52:29,0,0.0189,SitStand,0.98,52.6105121,4.9680183,-9,31.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:52:29,20,0.0189,Pecking,0.85,52.6105121,4.9680183,-9,31.2,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:52:35,0,0.0657,SitStand,1.00,52.6105119,4.9680160,-9,31.3,2024-11-23 18:24:23,45_best
6387,2023-05-02 11:52:35,20,0.0657,SitStand,0.98,52.6105119,4.9680160,-9,31.3,2024-11-23 18:24:23,45_best
