device_info_serial,date_time,index,speed_2d,prediction,confidence,latitude,longitude,altitude,temperature,runtime,model
6387,2023-05-02 12:14:45,0,0.5323,SitStand,0.56,52.6115649,4.9558151,-6,29.2,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:14:45,20,0.5323,SitStand,0.86,52.6115649,4.9558151,-6,29.2,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:14:58,0,0.6221,SitStand,0.80,52.6115271,4.9557289,-6,28.8,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:14:58,20,0.6221,SitStand,0.88,52.6115271,4.9557289,-6,28.8,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:15:04,0,0.3504,SitStand,0.99,52.6115105,4.9557070,-6,28.7,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:15:04,20,0.3504,SitStand,0.98,52.6115105,4.9557070,-6,28.7,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:15:10,0,0.2634,SitStand,0.98,52.6115027,4.9557194,-5,28.7,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:15:10,20,0.2634,SitStand,0.99,52.6115027,4.9557194,-5,28.7,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:15:16,0,0.3643,SitStand,0.88,52.6114990,4.9557116,-5,28.7,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:15:16,20,0.3643,ExFlap,0.74,52.6114990,4.9557116,-5,28.7,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:15:22,0,0.0757,Pecking,0.52,52.6114941,4.9557186,-5,28.7,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:15:22,20,0.0757,SitStand,0.79,52.6114941,4.9557186,-5,28.7,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:15:28,0,0.0602,SitStand,0.99,52.6114931,4.9557150,-4,29.0,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:15:28,20,0.0602,SitStand,1.00,52.6114931,4.9557150,-4,29.0,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:15:34,0,0.0020,SitStand,1.00,52.6114945,4.9557174,-4,29.0,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:15:34,20,0.0020,SitStand,1.00,52.6114945,4.9557174,-4,29.0,2024-11-23 18:24:34,45_best
6387,2023-05-02 12:15:41,0,0.0189,SitStand,1.00,52.6114953,4.9557214,-4,29.0,2024-11-23 18:24:34,45_best
